dataset,meta-estimator,outcome_model,params_outcome_model,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2,ate_mean_abs_error,ate_bias,ate_abs_bias,ate_squared_bias,ate_variance,ate_std_error,ate_mse,ate_rmse,mean_ite_bias,mean_ite_abs_bias,mean_ite_squared_bias,mean_ite_variance,mean_ite_std_error,mean_ite_mse,mean_ite_rmse,mean_pehe_squared,mean_pehe,std_of_ite_bias,std_of_ite_abs_bias,std_of_ite_squared_bias,std_of_ite_variance,std_of_ite_std_error,std_of_ite_mse,std_of_ite_rmse,std_of_pehe_squared,std_of_pehe,time,param_alpha,param_C,param_svm__C,param_n_neighbors,param_max_depth,prop_score_model,params_prop_score_model,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,mean_test_f1,std_test_f1,rank_test_f1,mean_test_precision,std_test_precision,rank_test_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
lalonde_psid,standardization,Ridge,{'alpha': 1000.0},-72871.34,15304.37,3.8,-6772.9,402.66,3.2,-5007.0,302.76,3.0,-99084639.02,19120771.14,4.2,-9898.47,956.17,3.2,0.59,0.06,4.2,13194.24,13194.24,13194.24,174088033.87,12800.97,113.14,174100834.84,13194.73,13323.41,14251.06,328238979.66,12800.97,113.14,328251780.63,14252.61,328251780.63,18117.53,12277.04,11186.88,518610678.8,0.0,0.0,518610678.8,11185.48,3032462.05,83.42,0.11,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 10000.0},-72852.39,15266.26,5.0,-6767.17,401.51,2.2,-4999.26,279.02,3.6,-98991576.96,19170840.71,2.4,-9893.63,958.83,2.0,0.59,0.06,2.2,13132.07,13132.07,13132.07,172451245.33,141.51,11.9,172451386.85,13132.07,13261.24,14209.24,326586129.24,141.51,11.9,326586270.75,14209.26,326586270.75,18071.7,12277.04,11166.19,517270889.08,0.0,0.0,517270889.08,11166.17,315703.04,8.73,0.11,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Ridge,{'alpha': 100000.0},-72842.94,15218.32,4.4,-6760.86,401.34,1.0,-4999.74,307.46,3.4,-98930337.72,19223900.77,1.4,-9890.45,961.45,1.4,0.59,0.06,1.4,13125.3,13125.3,13125.3,172273457.95,1.4,1.18,172273459.35,13125.3,13254.47,14204.68,326406592.63,1.4,1.18,326406594.04,14204.68,326406594.04,18066.73,12277.04,11163.94,517125042.01,0.0,0.0,517125042.01,11163.94,31387.21,0.87,0.1,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 0.0001},-72967.24,15325.43,6.8,-6802.31,404.26,10.0,-5055.13,301.85,8.8,-99612500.02,18881999.5,9.8,-9925.91,943.3,10.0,0.59,0.06,10.0,14097.2,14097.2,14097.2,198731014.89,2602011.37,1613.08,201333026.26,14189.19,14226.37,14876.33,353115231.64,2602011.37,1613.08,355717243.01,15094.67,355717243.01,18818.59,12277.04,11480.85,538180968.17,0.0,0.0,538180968.17,11307.88,49452475.36,1256.17,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 0.001},-72967.24,15325.43,6.6,-6802.31,404.26,9.0,-5055.13,301.85,7.8,-99612489.73,18881999.43,8.8,-9925.91,943.3,9.0,0.59,0.06,9.0,14097.2,14097.2,14097.2,198730930.35,2601981.89,1613.07,201332912.23,14189.18,14226.37,14876.33,353115146.32,2601981.89,1613.07,355717128.21,15094.66,355717128.21,18818.59,12277.04,11480.85,538180902.85,0.0,0.0,538180902.85,11307.88,49452194.15,1256.17,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 0.01},-72967.24,15325.41,6.4,-6802.3,404.26,8.0,-5055.11,301.84,6.8,-99612386.81,18881998.68,7.8,-9925.91,943.3,8.0,0.59,0.06,8.0,14097.17,14097.17,14097.17,198730084.92,2601687.08,1612.97,201331772.01,14189.14,14226.34,14876.31,353114293.15,2601687.08,1612.97,355715980.24,15094.62,355715980.24,18818.56,12277.04,11480.84,538180249.61,0.0,0.0,538180249.61,11307.89,49449382.18,1256.1,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 0.1},-72967.26,15325.22,6.2,-6802.25,404.25,7.0,-5054.89,301.77,5.8,-99611360.61,18881994.57,6.8,-9925.86,943.31,7.0,0.59,0.06,7.0,14096.87,14096.87,14096.87,198721630.79,2598742.3,1612.06,201320373.1,14188.74,14226.04,14876.09,353105761.56,2598742.3,1612.06,355704503.86,15094.19,355704503.86,18818.3,12277.04,11480.75,538173717.19,0.0,0.0,538173717.19,11307.96,49421279.35,1255.39,0.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 1.0},-72967.58,15323.4,6.0,-6801.72,404.21,6.0,-5053.6,300.42,5.8,-99601176.86,18881949.09,5.8,-9925.34,943.35,6.0,0.59,0.06,6.0,14093.93,14093.93,14093.93,198638886.01,2570021.77,1603.13,201208907.78,14184.81,14223.1,14874.0,353022258.5,2570021.77,1603.13,355592280.27,15090.0,355592280.27,18815.78,12277.04,11479.83,538109774.96,0.0,0.0,538109774.96,11308.59,49146285.82,1248.47,0.11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 10.0},-72968.31,15307.3,4.6,-6796.96,403.5,5.0,-5050.07,309.7,5.6,-99511895.49,18883524.82,4.8,-9920.84,943.78,5.0,0.59,0.06,4.8,14040.12,14040.12,14040.12,197124914.2,2363213.42,1537.27,199488127.62,14124.03,14169.29,14835.59,351494384.62,2363213.42,1537.27,353857598.04,15036.33,353857598.04,18773.03,12277.04,11462.97,536937836.27,0.0,0.0,536937836.27,11303.38,46996187.7,1196.2,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 100.0},-72900.93,15281.9,4.4,-6775.22,402.05,3.8,-5034.42,310.24,4.6,-99120062.33,18991952.31,3.4,-9900.83,949.97,3.4,0.59,0.06,3.4,13605.94,13605.94,13605.94,185121722.82,927056.64,962.84,186048779.46,13639.97,13735.12,14530.87,339379028.24,927056.64,962.84,340306084.88,14618.54,340306084.88,18432.81,12277.04,11323.99,527508203.72,0.0,0.0,527508203.72,11251.86,27839961.03,733.3,0.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 1000.0},-72850.12,15249.61,5.0,-6764.72,400.54,3.2,-5003.79,287.99,3.2,-98963775.62,19193414.79,4.0,-9892.21,960.03,2.8,0.59,0.06,3.0,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.09,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 10000.0},-72830.26,15181.76,4.8,-6757.67,401.25,1.0,-4987.34,298.54,3.4,-98929792.2,19252510.25,2.2,-9890.62,962.59,1.4,0.59,0.06,2.0,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.11,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,Lasso,{'alpha': 100000.0},-72828.0,15180.79,4.2,-6758.14,401.07,2.0,-4987.45,298.15,3.2,-98929724.03,19246916.4,1.6,-9890.65,962.3,2.4,0.59,0.06,1.8,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.11,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 0.0001},-72967.31,15325.41,7.4,-6802.27,404.25,9.6,-5054.92,301.7,8.0,-99611747.39,18882169.98,9.6,-9925.87,943.31,10.0,0.59,0.06,9.8,14096.33,14096.33,14096.33,198706393.37,2597522.8,1611.68,201303916.17,14188.16,14225.5,14875.71,353090384.51,2597522.8,1611.68,355687907.31,15093.72,355687907.31,18817.88,12277.04,11480.58,538161943.1,0.0,0.0,538161943.1,11307.86,49404030.55,1255.04,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 0.001},-72967.9,15325.23,6.8,-6801.91,404.17,9.0,-5054.1,302.01,7.8,-99605100.04,18883715.24,8.6,-9925.53,943.41,9.0,0.59,0.06,8.8,14088.54,14088.54,14088.54,198486819.17,2557597.74,1599.25,201044416.91,14179.01,14217.71,14870.14,352868797.7,2557597.74,1599.25,355426395.44,15085.23,355426395.44,18811.61,12277.04,11478.14,537992233.71,0.0,0.0,537992233.71,11307.62,48971753.41,1244.88,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 0.01},-72971.89,15324.2,6.0,-6798.77,403.62,8.4,-5049.39,304.45,7.0,-99549577.16,18899618.94,7.6,-9922.68,944.39,7.8,0.59,0.06,7.6,14017.16,14017.16,14017.16,196480667.82,2203240.06,1484.33,198683907.88,14095.53,14146.33,14819.22,350844206.25,2203240.06,1484.33,353047446.31,15008.07,353047446.31,18754.25,12277.04,11455.78,536437983.32,0.0,0.0,536437983.32,11305.09,45014715.79,1151.34,0.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 0.1},-72960.66,15326.23,5.4,-6785.54,403.15,6.6,-5053.45,306.26,7.0,-99338174.4,19003025.65,5.8,-9911.66,949.93,6.0,0.59,0.06,6.0,13640.22,13640.22,13640.22,186055602.17,737934.34,859.03,186793536.51,13667.24,13769.39,14554.49,340321762.41,737934.34,859.03,341059696.75,14626.27,341059696.75,18456.27,12277.04,11335.28,528250919.25,0.0,0.0,528250919.25,11275.28,24675369.61,652.49,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 1.0},-72885.26,15311.48,5.4,-6774.38,402.77,6.0,-5013.57,309.54,5.4,-99118923.72,19108421.87,6.0,-9900.23,955.48,5.6,0.59,0.06,6.0,13224.77,13224.77,13224.77,174894553.44,26624.12,163.17,174921177.56,13225.78,13353.94,14271.59,329053385.87,26624.12,163.17,329080009.99,14274.77,329080009.99,18140.16,12277.04,11197.1,519268914.66,0.0,0.0,519268914.66,11194.24,4394683.17,120.58,0.12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 10.0},-72854.6,15278.47,5.6,-6768.82,401.85,5.4,-4994.74,282.89,4.2,-99012620.22,19155379.17,5.0,-9894.74,958.03,4.4,0.59,0.06,4.6,13135.26,13135.26,13135.26,172535086.78,303.48,17.42,172535390.27,13135.27,13264.43,14211.38,326670795.27,303.48,17.42,326671098.76,14211.42,326671098.76,18074.04,12277.04,11167.24,517339646.21,0.0,0.0,517339646.21,11167.21,462580.95,12.79,0.11,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 100.0},-72845.82,15230.36,5.2,-6762.43,401.13,4.0,-4997.56,292.72,4.2,-98942178.9,19211298.73,4.0,-9891.05,960.85,3.8,0.59,0.06,3.8,13125.25,13125.25,13125.25,172272252.7,2.11,1.45,172272254.81,13125.25,13254.42,14204.65,326405375.53,2.11,1.45,326405377.64,14204.65,326405377.64,18066.69,12277.04,11163.93,517124053.07,0.0,0.0,517124053.07,11163.93,38546.55,1.07,0.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 1000.0},-72833.88,15192.68,4.6,-6758.04,401.33,2.6,-4989.1,302.64,4.0,-98920833.93,19245455.44,3.4,-9890.08,962.36,3.4,0.59,0.06,3.4,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 10000.0},-72830.11,15182.37,4.6,-6757.65,401.26,1.2,-4987.61,298.47,3.8,-98929000.1,19253053.41,2.8,-9890.57,962.62,2.6,0.59,0.06,2.8,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.1,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,ElasticNet,{'alpha': 100000.0},-72827.69,15180.83,4.0,-6757.99,401.14,2.2,-4987.17,297.98,3.6,-98929064.85,19249165.87,2.2,-9890.6,962.42,2.4,0.59,0.06,2.2,13124.53,13124.53,13124.53,172253169.35,0.0,0.0,172253169.35,13124.53,13253.7,14204.16,326386104.37,0.0,0.0,326386104.37,14204.16,326386104.37,18066.16,12277.04,11163.68,517108394.35,0.0,0.0,517108394.35,11163.68,0.0,0.0,0.12,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,KernelRidge,{'alpha': 0.0001},-174305.41,209503.53,8.2,-28615.1,43240.58,10.0,-22727.98,34868.79,10.0,-14852975523.16,29505951686.88,10.0,-37486.65,55097.8,10.0,-61.72,124.61,10.0,14085.35,14085.35,14085.35,198396986.26,2638417.07,1624.32,201035403.33,14178.7,14214.52,14867.86,352770246.63,2638500.14,1624.34,355408746.77,15088.8,355408746.77,18809.87,12276.72,11476.8,537867592.41,16478.1,5.07,537868526.3,11302.07,49701251.33,1263.94,0.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,KernelRidge,{'alpha': 0.001},-72875.27,15399.43,6.6,-6808.52,400.85,8.6,-5055.81,272.29,5.8,-99575050.4,18856503.2,6.6,-9924.01,942.27,6.8,0.59,0.06,6.8,14109.73,14109.73,14109.73,199084485.21,2575253.53,1604.76,201659738.74,14200.7,14238.9,14885.95,353552181.28,2582441.81,1606.34,356134623.09,15102.92,356134623.09,18830.33,12280.3,11487.42,538743487.77,148554.91,46.13,538737150.12,11315.32,49013240.71,1246.3,0.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,KernelRidge,{'alpha': 0.01},-72831.09,15407.3,4.6,-6806.67,402.02,7.4,-5066.23,264.53,7.4,-99558200.19,18952708.79,7.0,-9922.64,946.99,7.2,0.59,0.06,7.2,14086.69,14086.69,14086.69,198434932.08,2533462.48,1591.69,200968394.56,14176.33,14215.86,14868.84,352817264.71,2533539.62,1591.7,355350804.34,15082.16,355350804.34,18810.05,12277.07,11477.59,537948935.38,15967.87,5.02,537948015.94,11308.37,48657304.61,1238.11,0.13,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
lalonde_psid,standardization,KernelRidge,{'alpha': 0.1},-72834.44,15405.96,5.6,-6806.54,401.62,7.6,-5066.22,263.1,7.0,-99559190.4,18944138.1,6.6,-9922.74,946.57,6.8,0.59,0.06,6.8,14085.91,14085.91,14085.91,198412996.02,2528557.08,1590.14,200941553.1,14175.39,14215.09,14868.27,352795037.47,2528557.79,1590.14,355323595.26,15081.24,355323595.26,18809.4,12277.07,11477.35,537941822.67,1455.22,0.46,537941705.84,11308.4,48607784.3,1236.93,0.11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
